L,R,V1,V2,V3,V4,V5,V6,LL
-6.996366959687965,-7.0655681645953194,-22.370761356132018,-22.12032975630845,-15.817180503431812,-11.53870877963163,-9.143665603201063,-8.009277077540288,-5.219672551730583
-6.423760912588184,-6.487443664666956,-20.55928542195564,-20.346990160263562,-14.524021313798618,-10.592349668551194,-8.394372777383245,-7.353319197772275,-4.793484978237014
-6.812548297144614,-6.88038065984925,-21.820158057789463,-21.6288101099549,-15.407346542322093,-11.23106592707969,-8.9012294244371,-7.797783991456508,-5.084892668355566
-6.7347366470086545,-6.802269108078619,-21.58145586035149,-21.439326089999952,-15.240498777414341,-11.100387427024465,-8.798198619155482,-7.7080409658207705,-5.0283054217022585
-6.629565456483968,-6.696688070729618,-21.249270833732584,-21.15999219887909,-15.01803792623649,-10.924992949954888,-8.65937474731497,-7.586934498438383,-4.951393277960517
-6.519100202058591,-6.585914777205956,-20.896306691122156,-20.855112989425656,-14.791122292582802,-10.741580081967992,-8.51362717515886,-7.459728372120226,-4.870616690956436
-6.403977594020389,-6.470583722349739,-20.526282954234286,-20.52387277034069,-14.561607716987213,-10.551631668445353,-8.361834361850768,-7.32715767372845,-4.786448844296111
-6.283378865839824,-6.349856888788729,-20.137759522577582,-20.163582211594424,-14.326533607159252,-10.354396462255687,-8.20299532601839,-7.188295806453492,-4.698274743975276
-6.15609449877354,-6.222498110053249,-19.727629777270472,-19.772133179769195,-14.080239644659903,-10.148673329195606,-8.035630335525171,-7.041775383668304,-4.605184652002694
-6.020438005090209,-6.086784817454076,-19.29094810048536,-19.346598995678455,-13.814695385938546,-9.93266260886178,-7.857680272803211,-6.885692263362498,-4.505908724599567
-4.599749430803983,-3.8841568350002906,-17.011254194431853,-20.490455893996128,-19.47554093158261,-13.271106006200723,-9.462923212287366,-7.842202808399745,-4.830189765013456
-4.740156397563382,-3.8777161729964673,-16.717356491080643,-20.543764432928658,-20.42767940451767,-14.287284866343878,-10.104221551407836,-8.319456864704632,-5.014985553170565
-4.842610421780153,-3.8415219053131557,-16.149282749348245,-20.20406419675601,-20.945909247100793,-15.150331550640068,-10.65553964309058,-8.717973534382947,-5.131504630226409
-4.896493753570449,-3.7487238621375774,-15.300165137339818,-19.544237153577022,-21.173889323207757,-15.93855318898152,-11.174964865244277,-9.07951749105342,-5.197422826318312
-4.895544718261403,-3.5928516179835728,-14.13418836946685,-18.53119380759023,-21.082416338145038,-16.612298706788323,-11.653778223755197,-9.397346778032748,-5.203874522456788
-4.823009186116395,-3.3581813854717733,-12.584529369366424,-17.094646568150857,-20.604710479851118,-17.09605710887675,-12.059596190413211,-9.646414772010166,-5.129610902711111
-4.4859863821305055,-2.857792267213908,-9.853291134977235,-14.391482369159586,-19.06277775638392,-16.902226391526963,-12.04766512251366,-9.537031636031738,-4.772491353023477
-3.6496640559784312,-1.891816457096617,-5.214678085839861,-9.399341070473755,-15.530785823580118,-15.40324531640089,-11.186703589144734,-8.716407011627663,-3.90364997590611
-1.5807401753494568,0.26370846268254855,4.363766438809303,0.6805446814960647,-8.231529061712724,-11.152913426314969,-8.328847579284227,-6.226304065283927,-1.9670027100932925
-0.036095042648227646,1.6995875161699352,9.654946645650956,6.579333209467009,-3.346058449169606,-7.727468658333505,-5.781468829772253,-4.072234734620003,-0.6249741687009016
1.124806635271181,2.7375537963318206,12.956013990066836,10.43917618469348,0.2850811976741291,-5.0883150083098645,-3.8249094017896144,-2.428984323984466,0.3557586858033207
2.1458858679777135,3.6270389786876396,15.490677110467315,13.480265211441042,3.4364373638200427,-2.713265464214311,-2.0759202133678833,-0.9685337241020467,1.2020650288141232
3.09146206032477,4.4318194645752005,17.572084929668584,16.020538171114033,6.290027880604397,-0.45598432871937544,-0.4247514590900871,0.4016667905197525,1.9734030444726935
4.030940371869693,5.206000704704551,19.41505714127142,18.308183249326337,9.06160202866069,1.9011626153088843,1.2874133041579794,1.809108869454444,2.7361361217752855
5.70800127446752,6.426838979220616,22.409350716893297,22.237115232123255,14.401681643216154,7.075819099268128,4.998612587586773,4.781267179140878,4.211894590356579
9.013021340506567,8.637970142061835,28.077479860968523,29.863096540956967,25.07254458177503,18.198019827110826,13.243349206564384,11.318654061216382,7.255545008409062
11.017005541300502,9.975108736738594,31.31439910385673,34.199783513440956,30.945991298742378,24.533722451595565,18.35270382464439,15.40597594951284,9.061862257422717
11.641557965735998,10.347020655244739,32.426973350366055,35.93852405883055,33.4956976177774,26.975587555440736,20.08327709730168,16.764354541684238,9.707067932208659
12.170415479324648,10.64433739457221,33.31733380031814,37.35793066953116,35.55230916464887,29.108365976695364,21.650224601120158,17.986386963342536,10.260503818494584
12.634107778372433,10.88691686728699,34.02989874838493,38.52034084299658,37.22793338178624,31.007729409573646,23.131320022166264,19.137224626123427,10.749780563986734
13.01528994496972,11.053205672561097,34.460690053476384,39.3300812916229,38.49330174187909,32.628685833645946,24.508536789483177,20.205150856940566,11.159742679274977
12.728080192698418,10.53531827122643,31.866207303604973,37.056666284077,37.48071442197307,32.74221727005948,24.901581941501686,20.44009139335255,10.944380503036255
10.959879763713953,8.691432428130295,24.225626510267038,29.552813275784363,32.41360423348309,29.406459551602904,22.50129926315339,18.356541539187948,9.45204444289036
10.004646372228548,7.760301536860865,21.39416381500845,26.75579311194262,30.3273355354463,27.696900936943823,21.15528383110523,17.203821983681273,8.764363043565238
9.098744724842662,6.886406554031259,19.267422026349212,24.62163273680419,28.58762839786434,26.184261691653752,19.943967481324606,16.162595240717515,8.159944262054047
7.375824481652753,5.1945685366561545,15.610105974567091,20.924297285698188,25.563341218574635,23.614336673279244,17.85342054299485,14.336587113955549,7.063062390973901
4.863648041461803,2.7155043279955278,10.715516666588867,15.956635717048643,21.461734386364107,20.10491085975267,14.97053861808659,11.800121550096964,5.528706326604737
3.553406672775591,1.5471993330191738,7.75455691825069,12.669924067601462,18.262478870018523,17.316680512913138,12.838295386589564,10.015311753506833,4.531298733193529
0.13371145258964637,-0.9417095483442259,0.8676866552626075,3.8008436584242413,6.982061741412683,6.651066968246698,5.110920552408937,3.8192568441684553,1.4322586757844353
-2.739745286043235,-3.031184066690664,-4.786267214194529,-3.32544577220959,-1.4155504263472973,-1.74942281595924,-1.6121434762631992,-1.6008736107877752,-1.1203591820031882
-3.8873666898212322,-3.9412932599597124,-7.654092416775965,-6.87235255937769,-5.003855514032123,-4.767651651396436,-4.0546164319479905,-3.6134236152007206,-2.1568666950523006
-4.413823813496916,-4.408227941380255,-9.570273074525705,-9.1940237676135,-7.0322203405361146,-6.100759687702619,-5.0281912767475365,-4.4322405862138785,-2.67442744042549
-4.846261554783833,-4.801980208841912,-11.322231985511495,-11.240773780521538,-8.701471657786856,-7.188783635586607,-5.827946035139377,-5.107429941524912,-3.1107000099115747
-5.1010890229733885,-5.030430292870151,-12.704507741697569,-12.83280196364977,-9.935416778899786,-7.961333249620786,-6.385635514268795,-5.574010049568895,-3.4199903942345635
-4.368428443692081,-4.270495994050597,-11.818810060973371,-12.101838952351194,-9.355585103793802,-7.325605478396009,-5.800090889761121,-5.028641377189293,-3.087296547604978
-3.0725772268608287,-2.946497215350067,-10.066845626984225,-10.463124679399147,-8.018407364773212,-6.0499683342434105,-4.672707614806492,-3.994115483621547,-2.4488295249809076
-2.821277323503213,-2.6886672784895205,-10.160445678065143,-10.593873768157733,-8.043691204682315,-5.9520579283792845,-4.552870403962826,-3.87245126499058,-2.3860952311572983
-2.770409472947856,-2.638583768626739,-10.246048964399675,-10.689650407080627,-8.061696227738913,-5.928883569042746,-4.525545309541817,-3.8457167831864294,-2.374918044468529
-2.743005401541667,-2.612257884178774,-10.389217442636195,-10.844707700191062,-8.128816525276964,-5.9418046040788575,-4.52730465236676,-3.8446674447961935,-2.380795531485413
-2.7230997523470197,-2.593532965325324,-10.542676355209563,-11.011819918409563,-8.21331522688731,-5.966740955774395,-4.538786705288998,-3.852235851323168,-2.3929081143404627
-2.7034067695249493,-2.5749816405158326,-10.681557523092428,-11.16659485851283,-8.300892052491216,-5.992799156049944,-4.55123707773576,-3.8607076442038397,-2.4064467990845326
-2.6861480700882865,-2.558428049838285,-10.813621874232226,-11.319386756303434,-8.404978039020095,-6.0282517527988375,-4.570578824547772,-3.8750120734423525,-2.4249438137330595
-2.7114542607593206,-2.581801528754997,-11.097692885317398,-11.64565036569278,-8.671504889488508,-6.169601907664431,-4.668914336258904,-3.956496101216232,-2.4896473612733057
-3.1297236938989257,-2.979430412898694,-12.9721027596684,-13.710737631910334,-10.35189947223976,-7.246180964395613,-5.467570204070898,-4.634525238646922,-2.956474980394583
-4.087313598198786,-3.847592946627155,-16.68507453421542,-18.11812373004027,-14.174436540243889,-9.719432204099922,-7.285754775876843,-6.169492116827271,-3.9734969458200897
-4.376154687969086,-4.041469460498157,-17.316820849086994,-19.343429826857065,-15.76769041453701,-10.7226884201689,-7.975281315990754,-6.73085434891579,-4.307808769763434
-4.521507631366859,-4.0945975725237895,-17.302437915911696,-19.7912156155818,-16.829449858278153,-11.412981120455855,-8.42299612513497,-7.082594852717949,-4.492369349652988
-4.599796583480188,-4.081582019947535,-16.972955667428554,-19.832316359723368,-17.604315030602635,-11.962756862887945,-8.760426444516117,-7.337398883242553,-4.604021275886712
-4.6408392408275825,-4.031309149633208,-16.458026767385828,-19.617936397356164,-18.180896321080404,-12.438896580274152,-9.03907210275306,-7.539232089328314,-4.672106985365856
-4.660638078789982,-3.9591315926872883,-15.83022943904048,-19.234576814476455,-18.604949235777823,-12.877795492948017,-9.287558206511216,-7.712353342566491,-4.7123517377588495
-4.667812099681997,-3.8732002559800187,-15.131953186293437,-18.734796524268855,-18.900833890883685,-13.299327314059187,-9.522519035828676,-7.870697979633698,-4.7333886949414445
