L,R,V1,V2,V3,V4,V5,V6,LL
-6.996366959687965,-7.0655681645953194,-22.370761356132018,-22.12032975630845,-15.817180503431812,-11.53870877963163,-9.143665603201063,-8.009277077540288,-5.219672551730583
-6.423760912588184,-6.487443664666956,-20.55928542195564,-20.346990160263562,-14.524021313798618,-10.592349668551194,-8.394372777383245,-7.353319197772275,-4.793484978237014
-6.812548297144614,-6.88038065984925,-21.820158057789463,-21.6288101099549,-15.407346542322093,-11.23106592707969,-8.9012294244371,-7.797783991456508,-5.084892668355566
-6.7347366470086545,-6.802269108078619,-21.58145586035149,-21.439326089999952,-15.240498777414341,-11.100387427024465,-8.798198619155482,-7.7080409658207705,-5.0283054217022585
-6.629565456483968,-6.696688070729618,-21.249270833732584,-21.15999219887909,-15.01803792623649,-10.924992949954888,-8.65937474731497,-7.586934498438383,-4.951393277960517
-6.519100202058591,-6.585914777205956,-20.896306691122156,-20.855112989425656,-14.791122292582802,-10.741580081967992,-8.51362717515886,-7.459728372120226,-4.870616690956436
-6.403977594020389,-6.470583722349739,-20.526282954234286,-20.52387277034069,-14.561607716987213,-10.551631668445353,-8.361834361850768,-7.32715767372845,-4.786448844296111
-6.283378865839824,-6.349856888788729,-20.137759522577582,-20.163582211594424,-14.326533607159252,-10.354396462255687,-8.20299532601839,-7.188295806453492,-4.698274743975276
-6.15609449877354,-6.222498110053249,-19.727629777270472,-19.772133179769195,-14.080239644659903,-10.148673329195606,-8.035630335525171,-7.041775383668304,-4.605184652002694
-6.020438005090209,-6.086784817454076,-19.29094810048536,-19.346598995678455,-13.814695385938546,-9.93266260886178,-7.857680272803211,-6.885692263362498,-4.505908724599567
-4.528678790201316,-3.8123905710075547,-16.714382098917664,-20.19076176411679,-19.277643439964265,-13.13562656181978,-9.358521076493417,-7.751771340523286,-4.771002458091893
-4.670308104791683,-3.8071765022202486,-16.41828551198772,-20.24190429922814,-20.228559516873606,-14.151749148947466,-10.000135722081264,-8.229408709128037,-4.955831762040023
-4.775507606961314,-3.773756022301454,-15.854112942498734,-19.906176487111647,-20.749342745980577,-15.017277955084985,-10.553749510993365,-8.630043535686852,-5.073473552299377
-4.832418339217823,-3.6840650905327292,-15.01089811497546,-19.252181506832024,-20.9802184584637,-15.80802322362969,-11.075502273492395,-8.993772925527647,-5.1405381561719405
-4.834869184478867,-3.531755263980516,-13.854705205285041,-18.248623508248798,-20.89244283740324,-16.484486580191394,-11.556703027569018,-9.31389014498468,-5.148202714523599
-4.764221605683956,-3.2992914975748784,-12.31279738815705,-16.81870997026122,-20.412988457533455,-16.966930582276046,-11.961631670504163,-9.562480074710583,-5.073243566511143
-4.352449065840132,-2.7270789064708825,-9.27194636683323,-13.783344533299118,-18.600687579559057,-16.592772098586103,-11.81363037079236,-9.337147948807768,-4.637002542753999
-3.6019441473780778,-1.8517600319027392,-5.057379534390266,-9.185274806582731,-15.331209700061,-15.27155126379951,-11.089590333498899,-8.635389423069547,-3.853043150847516
-1.6083857647478033,0.2283090132116603,4.213156264227918,0.5786652133065741,-8.24374680368636,-11.170110510467055,-8.34720561059027,-6.244590833723028,-1.9817549207149432
-0.07693170299104819,1.6512045304080583,9.494690079315177,6.4570269880965165,-3.376588068921986,-7.759143466985064,-5.813471254571465,-4.103047418500752,-0.6475697416794371
1.075300167823463,2.680975251466192,12.794212678975157,10.304914099609881,0.23757666431243665,-5.130354484929071,-3.8659826014616834,-2.4680999298731456,0.3276106854516384
2.0896959601890965,3.5644572139835264,15.329764545140765,13.338084446138021,3.372740598682369,-2.7642896447074157,-2.1243477360847973,-1.014259410620407,1.1695852845902963
3.028997646342817,4.364104704579706,17.411974726748774,15.871475146535158,6.208272841008205,-0.5186326055870369,-0.4818770069354805,0.3485229466256255,1.9365735595457305
3.944633653937269,5.122388096242867,19.223073193717546,18.108241949050694,8.896498633773145,1.7591560457402482,1.1739610652269985,1.7112083276704524,2.6775882858930813
5.276475776171251,6.123604240126442,21.60535273726506,21.186469055445006,12.99561354800465,5.668958086989384,3.98626080889019,3.9751177315460735,3.8193985627872977
8.598750735671446,8.352059196125623,27.344350101907406,28.915513763990507,23.860525462448038,16.91503878110254,12.218699737795419,10.499385952658372,6.8839747942303395
10.92135637083365,9.901836309167466,31.077262567631575,33.87793562139538,30.575514419694713,24.260769412085175,18.147025042934,15.236881974273325,8.970360048239428
11.597798606174262,10.310690188555347,32.27426002855901,35.724943201058466,33.27225335937916,26.84990100188475,19.998756034624446,16.693450278506983,9.659907836033732
12.138297094818645,10.616135823402939,33.18817176322625,37.18006366955127,35.38234397150114,29.02006283066514,21.59142215799099,17.936318507738367,10.224579718049675
12.610842383974683,10.865232357891085,33.92036671404936,38.37249874435127,37.09888955941727,30.94597391451361,23.090748987410933,19.1021146313939,10.722335238945066
13.000504366004048,11.038312506690774,34.37337706647573,39.21381976782132,38.401004253283205,32.59015476269363,24.483849200562105,20.183245046487176,11.140240723892981
12.747167368366563,10.553202764117867,31.912832704173884,37.0831210841667,37.498077423059975,32.77711419984363,24.930429052958797,20.46374719201689,10.954898098670805
11.02317616873167,8.752018370245791,24.40736292924509,29.72310198537558,32.540857229117684,29.523170562151623,22.593715125185625,18.43471987839147,9.495835800509978
10.075260369538862,7.8269146723506475,21.553550366033235,26.9113339480939,30.458630027281743,27.82118074337907,21.25461690912958,17.28810988920357,8.81061204582767
9.178776631502588,6.961200834011114,19.413584469205787,24.771102618916785,28.72776684413085,26.3194522718222,20.052756211218735,16.255188248952752,8.210355914425607
7.492925517366544,5.305458943146716,15.772210005948207,21.09625355684722,25.73842166378899,23.78635326253929,17.99474955056758,14.458681458564282,7.130885071346198
4.914388510986952,2.7556901386738013,10.700378852686256,15.963971009875314,21.534686725441567,20.202512891872345,15.048105725630409,11.863520812690108,5.556426169799714
3.6959659842087427,1.6407514081749537,7.937648074089552,12.960605640746923,18.744335067851218,17.798295518876206,13.182713931549669,10.288173481779662,4.660661459055055
0.7562118792768342,-0.5352149192158628,1.951519907534777,5.343929109070583,9.19226651843418,8.82103034356605,6.689323652935231,5.069403275700527,2.02611672746924
-2.3875140841954137,-2.8014833023761967,-4.257277142486303,-2.5745538184274546,-0.41290009597359506,-0.6666674637817839,-0.6838599688661077,-0.8548167697584933,-0.8005090250700594
-3.8828834866536304,-3.950263819041583,-7.66133057973034,-6.788379395371495,-4.844690734002732,-4.682774066179084,-4.003232423132326,-3.5741468567183263,-2.133650883458063
-4.429988757715433,-4.431486461377394,-9.630265429725874,-9.192214151377268,-6.9765236963293376,-6.0851888869051916,-5.024789072065677,-4.431866992573808,-2.6729242032717484
-4.8749515786098625,-4.834107331966511,-11.419582832136726,-11.29806226194791,-8.7117608560939,-7.214992103486676,-5.853377635442557,-5.130570650415635,-3.122975168309595
-5.140904780462081,-5.0713480807405436,-12.832389301720902,-12.937311310025304,-9.993640733964012,-8.017995458580486,-6.432712627321517,-5.615111763081557,-3.443198758540584
-4.441718965134256,-4.3436935060184005,-11.990104229914566,-12.262615643166729,-9.469479332693725,-7.425380092453256,-5.882371217406802,-5.101049287780807,-3.1302608162145824
-3.1671305038952733,-3.040769368194252,-10.16259030499586,-10.555958658997348,-8.096244118558252,-6.136151276743611,-4.749971104087897,-4.064624717287966,-2.488996413309696
-2.822319356867754,-2.6862448666324372,-10.243058523536194,-10.687534784845337,-8.114232156685105,-5.99713871379803,-4.582890827101674,-3.895463530741019,-2.3998236536294626
-2.7712065335105116,-2.6359249579931516,-10.32391850890884,-10.779617084727041,-8.131666884703314,-5.973295939984566,-4.555123149349358,-3.868386315746263,-2.3886672182323547
-2.7437551247058614,-2.609579841523414,-10.461213912431495,-10.929639526780914,-8.197884752905825,-5.985481051941254,-4.556451271574805,-3.8670291510434245,-2.394581433633054
-2.72399747201598,-2.591022013676662,-10.608502821752511,-11.091335963688838,-8.282082683794748,-6.010145366043822,-4.567866065375233,-3.8746041300487764,-2.4069569845899377
-2.705545718772206,-2.5736749577689393,-10.744190360822113,-11.243922210514937,-8.372976972203935,-6.03842901009368,-4.58214512986151,-3.884705385646797,-2.421860920647876
-2.6959897441711105,-2.5644500761350613,-10.897716936507525,-11.42161382700327,-8.503217965804842,-6.091347546723818,-4.6147441474448145,-3.910377344828515,-2.4482600954973814
-2.7728193575903277,-2.636850410722123,-11.381377341354904,-11.96746197604797,-8.952531584266653,-6.3540211515314855,-4.804107411336977,-4.069467946702786,-2.5653308274135087
-3.565691870814591,-3.3892337391009257,-14.765551416194839,-15.700283758306146,-11.982593895533851,-8.323391587609379,-6.270311230976258,-5.3156479074215435,-3.4128867380073875
-4.214756186337565,-3.942395768547483,-17.026499927700634,-18.66516987368113,-14.795958357192246,-10.122554000192297,-7.5700473732098175,-6.403026102620274,-4.114983870997343
-4.439272404814614,-4.074903744741455,-17.38291387953172,-19.560169871314443,-16.147581917783263,-10.976510434274003,-8.146429433674886,-6.867324782600319,-4.382028508455367
-4.556351321089987,-4.102003181844664,-17.25148155183901,-19.854434578561147,-17.087923739580837,-11.59869313118193,-8.542995382378445,-7.175246718012325,-4.536105439442517
-4.617054541789219,-4.073363801250871,-16.85201263102441,-19.798880867542643,-17.776690698207997,-12.104017525810994,-8.847560687491214,-7.401967213998555,-4.62818498964373
-4.645670771875557,-4.01244350310113,-16.290331640893058,-19.517312167883663,-18.285000063810703,-12.546977127673694,-9.102197762412422,-7.583344289077646,-4.681979601260884
-4.655956181737146,-3.9323975315988515,-15.629549789998041,-19.084804476487538,-18.651927045302042,-12.958945298131724,-9.33173296607392,-7.740367246509118,-4.710938264996469
-4.655041120815053,-3.8399336979333256,-14.905811066609603,-18.546418791394906,-18.89735688585151,-13.356388024621726,-9.550260937779004,-7.884793157451049,-4.722191083170048
