L,R,V1,V2,V3,V4,V5,V6,LL
-2.6998764374514197,-2.8263484017777225,-8.265794262159249,-7.861789453420738,-5.703558814504541,-4.111977931934994,-3.2736043594318045,-2.9635039486466264,-1.936906169163007
-3.3004714696533557,-3.4021759816671446,-11.002165901335326,-10.715703533128833,-7.644546594577205,-5.535586749003825,-4.377731157411192,-3.898723318542731,-2.5496602129475403
-3.060150916096132,-3.079918118920732,-9.41632182515512,-9.34240920561632,-6.828819526144576,-4.997217666992359,-3.96265240190995,-3.5599882648036223,-2.3160582954451394
-2.340442605505545,-2.443836733637871,-7.7860649228337095,-7.733373620892297,-5.488862852623283,-3.9906514943462104,-3.067263489495027,-2.691434039992721,-1.763943601381738
-2.7530058792480983,-2.8495651609205055,-8.995271748278054,-8.961906217995399,-6.2657815378744965,-4.4338842279445245,-3.583255653784878,-3.206905302393989,-2.084727952213962
-2.822481963049139,-2.787477015083335,-8.937723886674572,-8.392698307887771,-5.908677652024207,-4.318347343363872,-3.715757735670609,-3.331531676903259,-2.1840682803968017
-3.0921167337504873,-3.0920510907960512,-10.350138943237834,-10.378327849664053,-7.430183781490632,-5.432622355469795,-4.294848453926653,-3.7537920146131807,-2.454815937979368
-2.8843475738919913,-2.911753781768986,-9.874599952027257,-10.014871676761576,-7.0773915159604135,-4.960594830879694,-3.9033664132820194,-3.399921048151829,-2.1890194745847915
-2.557568874908441,-2.610485689500432,-8.19659643066786,-8.18472246154864,-5.857929820798202,-4.2242410837753965,-3.3581953891210583,-2.9532760478868756,-1.938628363528742
-2.6631186640475226,-2.3890892015536873,-10.328341359548903,-11.953870212330683,-10.48002009163235,-6.982914411449712,-5.101644693894544,-4.282406893631312,-2.7334893189827247
-1.7092470160188058,-1.4571500242997495,-6.611112524996315,-7.774705065685914,-7.350863858497031,-5.029372221764222,-3.5858061330010926,-2.855972092003443,-1.759257823565403
-2.2006020228682317,-1.7585484774765978,-7.2691449914903306,-9.200150389935146,-9.951440356376306,-6.992259487652969,-5.058015197223735,-4.140117876890849,-2.4340962078756077
-1.9584682532189595,-1.660132941011914,-6.826321455221893,-8.737926999044465,-8.998302564934278,-6.104678558075904,-4.274616222035273,-3.539379709533403,-2.160373538723053
-2.0371325173726182,-1.5741774390704326,-6.145823335549794,-7.898459935193346,-8.672217054013807,-6.3906845088087865,-4.425419093840754,-3.585358438388482,-2.0389795092114498
-2.6617019889140088,-1.8750432312518712,-6.583515009906517,-9.169555035059648,-11.360334231911208,-9.333272395954923,-6.5290740563981196,-5.2525128581198395,-2.8431856616597555
-2.328581866748814,-1.7764000846883652,-6.794352927794564,-8.947592764103378,-10.086652860695866,-8.138642249183144,-5.644070973414801,-4.572449796203942,-2.505183775598167
-1.9663217520744325,-1.2395476736873214,-4.155837169893183,-5.979118037559189,-7.976483117326366,-7.378319606551812,-5.262626781686695,-4.143288525576521,-2.0245329597041923
-1.2445305434883434,-0.6499692596520759,-1.8227222244591381,-3.26095077032822,-5.3058233156779115,-5.515686854320225,-4.138820758363959,-3.4096270587669975,-1.446407194200103
-0.5928237873665165,0.15781866276410558,2.174266563671,0.4711055678350978,-2.879024253546741,-3.690625953196633,-2.5289711710990472,-1.8584040448207295,-0.5721084874581904
-0.011412875982381337,0.668224160455099,3.7409787018529705,2.024439464974243,-2.8166880254704227,-3.851785746220749,-2.5965959551141724,-1.8339192989124482,-0.4706777873611024
-0.32335035876189394,0.7194224584159334,4.698126679394941,2.7925324906835596,-2.9152361015240547,-5.389739662296006,-3.93599815729359,-2.9116411522971584,-0.6425210086854247
1.691872761874027,2.048842535100564,8.64964651982747,8.407497666250162,3.6379719446872096,0.75143878140922,0.866020406225531,1.1042947007758963,1.2865097292955812
0.7580988446869279,1.6134101569559531,6.805736621698945,5.597086056648686,0.9427091502058682,-2.293919193985756,-1.7516192016328627,-0.9649872142269051,0.2414589817595144
2.1619422344499575,2.4818961518057643,8.555883877658088,8.106678121197191,4.367714247129258,1.6435568119437354,1.3903387868739199,1.4566881111884293,1.446481550430481
3.282186887545154,3.461455155476397,11.792731230366122,12.199896577859622,8.858354848751315,5.118052797072766,3.722620112012266,3.3611684611203003,2.525893154799311
4.477720073791841,4.2340451558258945,13.864082816302277,15.211578999325994,13.661391158351128,10.075128858741904,7.18025525277689,5.915797047872728,3.77553120302616
5.830526442757056,5.19157329591602,16.279374530351987,17.956039399758193,16.120130664398925,13.264072890732336,9.897350366081328,8.25931865337922,4.852849332274881
4.278894231360158,3.8517199207064308,11.606133301427729,12.883730029963509,11.807653606437148,9.576147285941953,7.41294382818111,6.1739254107401775,3.540236130797828
6.442034689973788,5.388128461416546,16.771715693041575,19.49748268579564,20.073757887975532,16.226039769290946,11.922593797362191,9.688613481218203,5.5889121034719995
5.74166721525407,4.934814845471829,15.371328364228619,17.648573989523776,17.430581873461083,14.124417915602356,10.534787685654766,8.698463803985389,4.894944728418698
5.573023811492157,4.733386346397025,14.643138857607706,17.26113106552609,17.347998039258524,14.134663775698963,10.63276816941464,8.935721588033395,4.967353181657024
4.426292428432631,3.755247534444472,11.91118325841549,14.035028785929983,13.704216184995037,11.742368277198917,8.996482723160513,7.387924753948758,4.0417110374027345
4.925153070487291,3.9631615396293607,12.014591916037814,14.510900717471886,14.921894088108182,13.46893023374184,10.388909050379803,8.475141964308756,4.441516535971495
4.544834210413722,3.174247219011074,9.314393791274872,12.448150222994354,14.882773635858841,14.841209819408945,11.445200027687077,9.16700611953109,4.361454504334961
3.1070132086068254,2.0092106648165617,6.907303417517885,9.463099421643806,12.318331678485093,11.390552996873915,8.676980415384307,6.905473364534403,3.3424549614591763
2.137939947628302,1.2363285986573262,4.549133048530698,7.083481954122423,9.646892430743963,9.638923054015029,7.299305919739651,5.755719424073189,2.560938620187738
0.6000990662802711,0.11306893094344977,0.9848419611080939,2.230072165475242,4.055516833562553,3.076111320655408,2.3020830988077967,1.7342855005664155,0.7608492461638169
0.6651206289482109,0.04393863781482865,0.638966051459399,2.200168344224065,4.281922702413525,4.2151945426603366,3.030710583515667,2.2930894828115087,0.8876956200085877
-0.22874495341855985,-0.6371662859021204,-0.539202653924688,0.8223296627581013,2.018762104412619,2.2744823828248646,1.7665067523425555,1.3065982060015267,0.3864646842172529
-1.7821234322601862,-1.9594801429479773,-4.240027506915752,-3.6183152616154164,-2.244765531412022,-1.872537239624083,-1.5170285682146156,-1.4108562152829431,-1.0372942500162303
-1.4458587310925877,-1.4846651899594414,-2.553191125827048,-2.357429752390283,-1.588672959455092,-1.766985723254207,-1.5213692465476456,-1.374773308257041,-0.8156167223216995
-2.0679365766350437,-2.0179811358490136,-5.1728707919893715,-5.251892630543228,-4.091384756546804,-3.3547884662504797,-2.6921123671523275,-2.3362954773036573,-1.4111108641242225
-1.989358529525857,-1.8986582100726317,-5.035918700002031,-5.103322378857737,-3.8513303563992354,-3.0815002235629603,-2.4675604777034437,-2.1504798617717125,-1.3042792118636701
-1.0684008978865966,-1.0004489203582545,-2.844489607206755,-3.089717671903912,-2.6088100144147552,-2.0561480111936947,-1.5918557609645227,-1.364580466285663,-0.8127258958577845
-0.8835456517997333,-0.8380462085898766,-3.2729492054930054,-3.5511889650411317,-2.770677068920587,-2.005196789560294,-1.5253585862103536,-1.1929828753135177,-0.7872687748080396
-1.291462777031426,-1.1986545482327824,-4.730415086499158,-5.239305991600539,-4.049961547879906,-3.0361256303342814,-2.2959100945331077,-1.9588864692871406,-1.1891746226856392
-1.2677160127159772,-1.1994885248615275,-4.919859386025278,-5.161640758055833,-3.8814149014442805,-2.830994628721917,-2.1464235017066797,-1.8114744918803576,-1.1237713244524439
-0.9388960907924374,-0.8701808797035869,-3.540417871918814,-3.8198104509850177,-3.002312255774527,-2.1920280554673766,-1.6482169526696393,-1.3742075428101106,-0.8391624735139616
